Template Name,Description,Snapshot,URL
Support Ticket Routing System,"This workflow template efficiently routes new support tickets to team members based on availability, workload, expertise, and ticket urgency. Ensure prompt and effective handling of tickets by automating the routing process.",https://images.ctfassets.net/kepwgvmwgwnt/V2l70fDQueUp9azLbOCgk/226a1f0a5ede57796bcf41838b4b9e5a/Notification.png,https://retool.com/templates/support-ticket-routing
Export leads from Google Sheets to Salesforce,"Export leads from Google Sheets to Salesforce effortlessly. Streamline lead management, ensure data accuracy, and drive sales conversions by seamlessly integrating Google Sheets with Salesforce.",https://images.ctfassets.net/kepwgvmwgwnt/75n4RlmRJa8zdDSSGsEAuh/7e8231ade4b2ccef1aaeb963a84cd676/Workflows.png,https://retool.com/templates/export-leads-from-google-sheets-to-salesforce
Support Response Time Report,"This workflow template enables you to generate a weekly customer support report, summarizing key metrics for your team. The report includes data on average time to close tickets, popular ticket topics, outcomes, and customer ratings. Automate the process and receive the report via email every Friday.",https://images.ctfassets.net/kepwgvmwgwnt/1QPNubG4kvUpPvMvMoYUZy/6d60017b08b6f554c2c788226f9517df/Workflows.png,https://retool.com/templates/support-response-time-report
Enrich Airtable Records with Clearbit,"Enrich Airtable records with Clearbit data to gain valuable insights and improve data accuracy. Add contact details, and social profiles effortlessly. Make informed decisions with enhanced records.",https://images.ctfassets.net/kepwgvmwgwnt/1QPNubG4kvUpPvMvMoYUZy/6d60017b08b6f554c2c788226f9517df/Workflows.png,https://retool.com/templates/enrich-airtable-records-with-clearbit
Summarize Google Sheets and send via SMTP,"This workflow template enables you to extract and summarize data from Google Sheets, sending it directly via SMTP for streamlined communication and efficient data sharing. Use it for reporting, data analysis, and timely updates to stakeholders.",https://images.ctfassets.net/kepwgvmwgwnt/1dAbJaa9e3kXDAPZm0Lc6C/29fa734a73c0dc2ca023d77897066257/CTL.png,https://retool.com/templates/summarize-google-sheets-and-send-via-smtp
Daily MRR Notification,"Receive daily notifications of your Monthly Recurring Revenue (MRR), providing timely insights into your subscription-based business's financial performance.",https://images.ctfassets.net/kepwgvmwgwnt/V2l70fDQueUp9azLbOCgk/226a1f0a5ede57796bcf41838b4b9e5a/Notification.png,https://retool.com/templates/daily-mrr-notification
Send Slack Message When Google Sheets Rows Are Updated,"Receive real-time Slack notifications whenever rows are updated in Google Sheets. Stay informed about data changes, collaborate seamlessly with your team, and take prompt actions based on the updated information.",https://images.ctfassets.net/kepwgvmwgwnt/1dAbJaa9e3kXDAPZm0Lc6C/29fa734a73c0dc2ca023d77897066257/CTL.png,https://retool.com/templates/send-slack-message-when-google-sheets-rows-updated
Daily Jira Ticket Summary via Slack,"Receive a daily summary of Jira tickets right in Slack, keeping your team informed and up to date on the latest ticket activity. Stay on top of progress and never miss important updates with this seamless integration.",https://images.ctfassets.net/kepwgvmwgwnt/48nOGpymgmjGwDcg1nUJMV/3c88606dbee44ff3df22c53debeb7d5d/Notification.png,https://retool.com/templates/daily-jira-ticket-summary-via-slack
Create Trello Cards from Data in Airtable,Efficiently manage your tasks and projects by automatically creating Trello cards from data stored in Airtable. Keep your team organized and track progress seamlessly across platforms. Simplify your workflow and enhance collaboration with this powerful integration.,https://images.ctfassets.net/kepwgvmwgwnt/6RYMpsbAnUuNuYxumCTPDt/307261efd04236adf98246c916b483b7/Data.png,https://retool.com/templates/create-trello-cards-from-data-in-airtable
Create Trello Cards from New Jira Issues,"Automatically generate Trello cards for newly created Jira issues, enhancing project coordination and collaboration between Jira and Trello platforms.",https://images.ctfassets.net/kepwgvmwgwnt/75n4RlmRJa8zdDSSGsEAuh/7e8231ade4b2ccef1aaeb963a84cd676/Workflows.png,https://retool.com/templates/create-trello-cards-from-new-jira-issues
Create Salesforce tasks from Shopify customers,Create Salesforce tasks for new Shopify customers. Streamline your task management and customer follow-up process with this integration between Salesforce and Shopify. Stay organized and provide excellent customer service with automated task creation.,https://images.ctfassets.net/kepwgvmwgwnt/6RYMpsbAnUuNuYxumCTPDt/307261efd04236adf98246c916b483b7/Data.png,https://retool.com/templates/create-salesforce-tasks-from-shopify-customers
Create Salesforce contacts from Typeform,"Automate the creation of Salesforce contacts with this time-saving workflow template. It integrates Typeform entries with Salesforce, allowing you to effortlessly convert form submissions into new contacts. Streamline your lead management process, capture valuable customer data, and ensure seamless data synchronization between Typeform and Salesforce. Stay organized, save time, and nurture your leads effectively.",https://images.ctfassets.net/kepwgvmwgwnt/6RYMpsbAnUuNuYxumCTPDt/307261efd04236adf98246c916b483b7/Data.png,https://retool.com/templates/create-salesforce-contacts-from-typeform
Create Linear tickets from new Github issues,"Automate your ticket management process with this workflow template. Create Linear tickets automatically from new GitHub issues, ensuring seamless issue tracking and efficient collaboration between development and support teams. Streamline your workflow and enhance productivity.",https://images.ctfassets.net/kepwgvmwgwnt/75n4RlmRJa8zdDSSGsEAuh/7e8231ade4b2ccef1aaeb963a84cd676/Workflows.png,https://retool.com/templates/create-linear-tickets-from-new-github-issues
Create Linear ticket from Salesforce feature request,"Automate ticket creation in Linear from new feature requests in Salesforce. Streamline issue tracking, improve collaboration, and enhance development workflows with this seamless integration between Salesforce and Linear.",https://images.ctfassets.net/kepwgvmwgwnt/1QPNubG4kvUpPvMvMoYUZy/6d60017b08b6f554c2c788226f9517df/Workflows.png,https://retool.com/templates/create-linear-ticket-from-salesforce-feature-request
Create Hubspot contact for new Google Sheets rows,"Automate the creation of HubSpot contacts from new Google Sheets rows, ensuring seamless data synchronization and efficient lead management.",https://images.ctfassets.net/kepwgvmwgwnt/V2l70fDQueUp9azLbOCgk/226a1f0a5ede57796bcf41838b4b9e5a/Notification.png,https://retool.com/templates/create-hubspot-contact-for-new-google-sheets-rows
Churn Prediction System,"This workflow template allows you to identify accounts with low product activity and no set renewal date on a weekly basis. It retrieves key information such as the account owner, account NPS, ARR, plan name, and customer start date. By sending a Slack message to a designated Churn alerts channel and tagging the account owner, you can proactively address potential churn risks and take appropriate actions to retain valuable customers. Stay on top of customer engagement and retention with this automated churn monitoring solution.",https://images.ctfassets.net/kepwgvmwgwnt/V2l70fDQueUp9azLbOCgk/226a1f0a5ede57796bcf41838b4b9e5a/Notification.png,https://retool.com/templates/churn-prediction
Automatically Re-Order Low-Stock Items,"Automate reordering of low-stock items, ensuring inventory availability and preventing stockouts for seamless business operations.",https://images.ctfassets.net/kepwgvmwgwnt/V2l70fDQueUp9azLbOCgk/226a1f0a5ede57796bcf41838b4b9e5a/Notification.png,https://retool.com/templates/automatically-re-order-low-stock-items
Automated Linear Ticket Assignment,"Automate SMS notifications using API integration. Streamline communication, send alerts, and engage with personalized text messages seamlessly.",https://images.ctfassets.net/kepwgvmwgwnt/75n4RlmRJa8zdDSSGsEAuh/7e8231ade4b2ccef1aaeb963a84cd676/Workflows.png,https://retool.com/templates/automated-linear-ticket-assignment
Send Slack Message when Linear Issue is Closed,"Receive real-time notifications in Slack whenever an issue in Linear is closed. Stay updated on the progress of your tasks, collaborate with your team, and celebrate successful completions with timely Slack notifications for closed Linear issues.",https://images.ctfassets.net/kepwgvmwgwnt/1QPNubG4kvUpPvMvMoYUZy/6d60017b08b6f554c2c788226f9517df/Workflows.png,https://retool.com/templates/send-slack-message-when-linear-issue-is-closed
Send Slack Message When a Lead Converts in Salesforce,"Get real-time Slack notifications when a lead is converted in Salesforce. Stay in the loop and quickly respond to important lead conversions, ensuring effective sales tracking and streamlined communication across your team.",https://images.ctfassets.net/kepwgvmwgwnt/V2l70fDQueUp9azLbOCgk/226a1f0a5ede57796bcf41838b4b9e5a/Notification.png,https://retool.com/templates/send-slack-message-lead-converts-in-salesforce
Send Slack Message For New Salesforce Cases,Receive instant Slack notifications whenever new cases are created in Salesforce using this workflow template. Stay informed about important updates and take immediate action to ensure efficient case management and seamless customer support.,https://images.ctfassets.net/kepwgvmwgwnt/48nOGpymgmjGwDcg1nUJMV/3c88606dbee44ff3df22c53debeb7d5d/Notification.png,https://retool.com/templates/send-slack-message-new-salesforce-cases
Send Slack Message for High-Value Shopify Orders,"Get instant notifications in Slack for high-value Shopify orders, allowing you to prioritize and closely monitor valuable transactions. Stay informed and take immediate action to ensure exceptional service and seamless order fulfillment for your most important customers.",https://images.ctfassets.net/kepwgvmwgwnt/1QPNubG4kvUpPvMvMoYUZy/6d60017b08b6f554c2c788226f9517df/Workflows.png,https://retool.com/templates/send-slack-message-for-high-value-shopify-orders
Send Github mentions to Slack,"Keep your team in the loop with GitHub mentions. This workflow template automatically sends notifications to Slack whenever you or your team members are mentioned in GitHub issues, pull requests, or comments. Stay connected, collaborate effectively, and never miss an important mention with this seamless integration between GitHub and Slack.",https://images.ctfassets.net/kepwgvmwgwnt/V2l70fDQueUp9azLbOCgk/226a1f0a5ede57796bcf41838b4b9e5a/Notification.png,https://retool.com/templates/send-github-mentions-to-slack
Send new GitHub commits to Slack,"Stay updated on your team's GitHub activity with ease. This workflow template automatically sends notifications of new commits directly to Slack, ensuring timely collaboration, effective code review, and streamlined communication among team members. Stay connected and informed with this seamless integration between GitHub and Slack.",https://images.ctfassets.net/kepwgvmwgwnt/1dAbJaa9e3kXDAPZm0Lc6C/29fa734a73c0dc2ca023d77897066257/CTL.png,https://retool.com/templates/send-new-git-hub-commits-to-slack
Send Github repo to Postgres,"This workflow template automates the process of sending GitHub repositories to a Postgres database, facilitating seamless integration and data synchronization. Utilize it for version control, data storage, and collaboration between developers and database systems.",https://images.ctfassets.net/kepwgvmwgwnt/75n4RlmRJa8zdDSSGsEAuh/7e8231ade4b2ccef1aaeb963a84cd676/Workflows.png,https://retool.com/templates/send-github-repo-to-postgres
Send Github repo to Slack,"This workflow template enables you to send query results from GitHub repositories directly to Slack, ensuring efficient communication and collaboration. Stay updated on code changes, pull requests, and important repository information within your Slack workspace.",https://images.ctfassets.net/kepwgvmwgwnt/48nOGpymgmjGwDcg1nUJMV/3c88606dbee44ff3df22c53debeb7d5d/Notification.png,https://retool.com/templates/send-github-repo-to-slack
Send Email for Low Inventory Levels in Shopify,Receive automated email notifications for low inventory levels in your Shopify store. Stay on top of stock availability and proactively manage your inventory to ensure you never run out of popular products. Keep your customers satisfied and avoid missed sales opportunities with this convenient email alert system.,https://images.ctfassets.net/kepwgvmwgwnt/48nOGpymgmjGwDcg1nUJMV/3c88606dbee44ff3df22c53debeb7d5d/Notification.png,https://retool.com/templates/send-email-for-low-inventory-levels-in-shopify
Send Weekly Airtable Summary via Email,"Get a weekly summary of your Airtable data delivered straight to your inbox. Stay informed with key metrics, trends, and updates without lifting a finger. Simplify your workflow and stay on top of your data.",https://images.ctfassets.net/kepwgvmwgwnt/1QPNubG4kvUpPvMvMoYUZy/6d60017b08b6f554c2c788226f9517df/Workflows.png,https://retool.com/templates/send-weekly-airtable-summary-via-email
Abandoned Cart Recovery Email,Recover potentially lost sales by sending targeted emails to customers who have abandoned their shopping carts.,https://images.ctfassets.net/kepwgvmwgwnt/V2l70fDQueUp9azLbOCgk/226a1f0a5ede57796bcf41838b4b9e5a/Notification.png,https://retool.com/templates/abandoned-cart-recovery-emails
Send Daily Airtable Summary in Slack,"Receive a daily summary of your Airtable data directly in Slack. Stay up to date with important metrics, trends, and updates without missing a beat. Simplify your workflow and keep your team informed effortlessly.",https://images.ctfassets.net/kepwgvmwgwnt/1QPNubG4kvUpPvMvMoYUZy/6d60017b08b6f554c2c788226f9517df/Workflows.png,https://retool.com/templates/send-daily-airtable-summary-in-slack
Refund Fulfillment,"Efficiently process and manage refunds, ensuring timely and accurate resolution for improved customer satisfaction and operational effectiveness.",https://images.ctfassets.net/kepwgvmwgwnt/75n4RlmRJa8zdDSSGsEAuh/7e8231ade4b2ccef1aaeb963a84cd676/Workflows.png,https://retool.com/templates/refund-fulfillment
Notify Slack when Salesforce opportunity is Closed Won,"Keep your team informed and celebrate your wins with this automated workflow template. Whenever a Salesforce opportunity is marked as 'Closed/Won,' this template sends a notification to Slack, ensuring everyone stays in the loop. Stay connected, share successes, and foster a collaborative environment by celebrating closed deals and promoting transparency across your organization.",https://images.ctfassets.net/kepwgvmwgwnt/48nOGpymgmjGwDcg1nUJMV/3c88606dbee44ff3df22c53debeb7d5d/Notification.png,https://retool.com/templates/notify-slack-when-salesforce-opportunity-is-closed-won
New Customer Follow Up,"Initiate follow-up interactions with new customers, fostering engagement and building relationships to enhance customer retention and loyalty.",https://images.ctfassets.net/kepwgvmwgwnt/75n4RlmRJa8zdDSSGsEAuh/7e8231ade4b2ccef1aaeb963a84cd676/Workflows.png,https://retool.com/templates/new-customer-follow-up
Add Typeform responses to Google Sheets,"Integrate Typeform responses with Google Sheets, simplifying data collection and analysis for better insights and informed decision-making.",https://images.ctfassets.net/kepwgvmwgwnt/75n4RlmRJa8zdDSSGsEAuh/7e8231ade4b2ccef1aaeb963a84cd676/Workflows.png,https://retool.com/templates/add-typeform-responses-to-google-sheets
Add Typeform Entries into Airtable,Efficiently collect and organize data by automatically adding Typeform entries into Airtable. Streamline your workflow and centralize your information for better insights and decision-making. Simplify data management and boost productivity with seamless integration between Typeform and Airtable.,https://images.ctfassets.net/kepwgvmwgwnt/1QPNubG4kvUpPvMvMoYUZy/6d60017b08b6f554c2c788226f9517df/Workflows.png,https://retool.com/templates/add-typeform-entries-into-airtable
Add new leads from Google Sheets to Salesforce,"Sync Google Sheets leads to Salesforce for streamlined lead generation. Automate data transfer, eliminate manual entry, and expedite conversion of prospects into customers. Boost sales efficiency by seamlessly integrating these two powerful platforms.",https://images.ctfassets.net/kepwgvmwgwnt/1QPNubG4kvUpPvMvMoYUZy/6d60017b08b6f554c2c788226f9517df/Workflows.png,https://retool.com/templates/add-new-leads-google-sheets-salesforce
Add New Github Issues to Asana,"Automatically create Asana tasks for new GitHub issues, ensuring seamless collaboration and task management across platforms. Streamline your development workflow by automatically syncing issues from GitHub to Asana, keeping your team organized and productive. Stay on top of your projects and easily track progress with this powerful integration.",https://images.ctfassets.net/kepwgvmwgwnt/48nOGpymgmjGwDcg1nUJMV/3c88606dbee44ff3df22c53debeb7d5d/Notification.png,https://retool.com/templates/add-new-git-hub-issues-to-asana
Digital Asset Management System,"This app is a digital asset management system that helps you organize, store, and manage your digital assets in a structured dataset.",https://images.ctfassets.net/kepwgvmwgwnt/a5sZjfw6fawZh0BjlLabt/a8a36565e605bc9f15342f85e3199e59/Warehouse_Management.png,https://retool.com/templates/digital-asset-management-system
